,HMDB,PubChem_id,Protein,Uniprot,Combined
1300,HMDB0000050,60961,EDNRB,P24530,487.0
1301,HMDB0008923,445468,EDNRB,P24530,322.0
1302,HMDB0000492,312,EDNRB,P24530,162.0
1303,HMDB0000016,6166,EDNRB,P24530,174.0
1304,HMDB0000058,6076,EDNRB,P24530,277.0
1305,HMDB0000187,5951,GPRC6A,Q5T6X5,430.71148036253777
1306,HMDB0000182,5962,GPRC6A,Q5T6X5,430.71148036253777
1307,HMDB0000161,5950,GPRC6A,Q5T6X5,430.71148036253777
1308,HMDB0000187,5951,GPRC6A,Q5T6X5,430.71148036253777
1309,HMDB0000182,5962,GPRC6A,Q5T6X5,430.71148036253777
1310,HMDB0000161,5950,GPRC6A,Q5T6X5,430.71148036253777
1311,HMDB0000161,5950,GPRC6A,Q5T6X5,800.0
1312,HMDB0000187,5951,GPRC6A,Q5T6X5,800.0
1313,HMDB0000182,5962,GPRC6A,Q5T6X5,900.0
1314,HMDB0001377,977,ABCC1,P33527,552.0
1315,HMDB0001341,6022,TLR4,O00206,360.0
1316,HMDB0010572,449008,TLR4,O00206,586.0
1317,HMDB0000492,312,TLR4,O00206,841.0
1318,HMDB0001341,6022,ADGRA2,Q96PE1,360.0
1319,HMDB0010572,449008,ADGRA2,Q96PE1,370.0
1320,HMDB0000067,5997,NR2F6,P10588,319.0
1321,HMDB0000300,1174,GPR17,Q13304,895.0
1322,HMDB0000067,5997,NR2C1,P13056,319.0
1323,HMDB0001377,977,ABCB10,Q9NRK6,264.0
1324,HMDB0000045,6083,SSTR5,P35346,176.0
1325,HMDB0000050,60961,SSTR5,P35346,921.0
1326,HMDB0008923,445468,SSTR5,P35346,322.0
1327,HMDB0004666,5282280,SSTR5,P35346,910.0
1328,HMDB0000492,312,SSTR5,P35346,251.0
1329,HMDB0000016,6166,SSTR5,P35346,174.0
1330,HMDB0000058,6076,SSTR5,P35346,187.0
1331,HMDB0000045,6083,TAAR1,Q96RJ0,176.0
1332,HMDB0000050,60961,TAAR1,Q96RJ0,921.0
1333,HMDB0008923,445468,TAAR1,Q96RJ0,322.0
1334,HMDB0000492,312,TAAR1,Q96RJ0,162.0
1335,HMDB0000016,6166,TAAR1,Q96RJ0,174.0
1336,HMDB0000058,6076,TAAR1,Q96RJ0,187.0
1337,HMDB0001341,6022,P2RX4,Q99571,817.0
1338,HMDB0000045,6083,PTGER3,P43115,176.0
1339,HMDB0000050,60961,PTGER3,P43115,928.0
1340,HMDB0008923,445468,PTGER3,P43115,322.0
1341,HMDB0004666,5282280,PTGER3,P43115,910.0
1342,HMDB0000492,312,PTGER3,P43115,162.0
1343,HMDB0000016,6166,PTGER3,P43115,174.0
1344,HMDB0000058,6076,PTGER3,P43115,438.0
1345,HMDB0000187,5951,GRIN3B,O60391,703.0
1346,HMDB0000187,5951,GRIN3B,O60391,703.0
1347,HMDB0000191,5960,GRIN3B,O60391,899.0
1348,HMDB0000045,6083,HTR1A,P08908,176.0
1349,HMDB0000050,60961,HTR1A,P08908,935.0
1350,HMDB0008923,445468,HTR1A,P08908,322.0
1351,HMDB0004666,5282280,HTR1A,P08908,910.0
1352,HMDB0000492,312,HTR1A,P08908,254.0
1353,HMDB0000016,6166,HTR1A,P08908,237.0
1354,HMDB0000058,6076,HTR1A,P08908,356.0
1355,HMDB0001341,6022,TRPM4,Q8TD43,430.71148036253777
1356,HMDB0000050,60961,TRPM4,Q8TD43,430.71148036253777
1357,HMDB0000045,6083,TRPM4,Q8TD43,430.71148036253777
1358,HMDB0001341,6022,TRPM4,Q8TD43,430.71148036253777
1359,HMDB0000045,6083,TRPM4,Q8TD43,430.71148036253777
1360,HMDB0000050,60961,ASIC2,Q16515,429.0
1361,HMDB0000191,5960,GRID2,O43424,800.0
1362,HMDB0000492,312,EPHB3,P54753,817.0
1363,HMDB0001341,6022,EPHB3,P54753,969.0
1364,HMDB0000492,312,EPHB3,P54753,817.0
1365,HMDB0000492,312,ITGB4,P16144,800.0
1366,HMDB0001341,6022,EPHA1,P21709,954.0
1367,HMDB0000492,312,TNFRSF10B,O14763,800.0
1368,HMDB0000045,6083,GRPR,P30550,176.0
1369,HMDB0000050,60961,GRPR,P30550,237.0
1370,HMDB0008923,445468,GRPR,P30550,322.0
1371,HMDB0000492,312,GRPR,P30550,162.0
1372,HMDB0000016,6166,GRPR,P30550,174.0
1373,HMDB0000058,6076,GRPR,P30550,187.0
1374,HMDB0000045,6083,GHSR,Q92847,176.0
1375,HMDB0000050,60961,GHSR,Q92847,300.0
1376,HMDB0008923,445468,GHSR,Q92847,322.0
1377,HMDB0004666,5282280,GHSR,Q92847,198.0
1378,HMDB0000492,312,GHSR,Q92847,162.0
1379,HMDB0000016,6166,GHSR,Q92847,174.0
1380,HMDB0000058,6076,GHSR,Q92847,187.0
1381,HMDB0000045,6083,GPR173,Q9NS66,176.0
1382,HMDB0000050,60961,GPR173,Q9NS66,237.0
1383,HMDB0008923,445468,GPR173,Q9NS66,322.0
1384,HMDB0000492,312,GPR173,Q9NS66,162.0
1385,HMDB0000016,6166,GPR173,Q9NS66,174.0
1386,HMDB0000058,6076,GPR173,Q9NS66,187.0
1387,HMDB0000045,6083,PROKR1,Q8TCW9,176.0
1388,HMDB0000050,60961,PROKR1,Q8TCW9,237.0
1389,HMDB0008923,445468,PROKR1,Q8TCW9,322.0
1390,HMDB0000492,312,PROKR1,Q8TCW9,162.0
1391,HMDB0000016,6166,PROKR1,Q8TCW9,174.0
1392,HMDB0000058,6076,PROKR1,Q8TCW9,187.0
1393,HMDB0000045,6083,TRHR,P34981,243.0
1394,HMDB0000050,60961,TRHR,P34981,383.0
1395,HMDB0008923,445468,TRHR,P34981,322.0
1396,HMDB0000492,312,TRHR,P34981,162.0
1397,HMDB0000016,6166,TRHR,P34981,174.0
1398,HMDB0000058,6076,TRHR,P34981,187.0
1399,HMDB0000045,6083,MC5R,P33032,176.0
1400,HMDB0000050,60961,MC5R,P33032,927.0
1401,HMDB0008923,445468,MC5R,P33032,322.0
1402,HMDB0000492,312,MC5R,P33032,162.0
1403,HMDB0000016,6166,MC5R,P33032,174.0
1404,HMDB0000058,6076,MC5R,P33032,187.0
1405,HMDB0001377,977,ABCB9,Q9NP78,264.0
1406,HMDB0000191,5960,GRID1,Q9ULK0,800.0
1407,HMDB0000045,6083,CCR1,P32246,176.0
1408,HMDB0000050,60961,CCR1,P32246,921.0
1409,HMDB0008923,445468,CCR1,P32246,322.0
1410,HMDB0004666,5282280,CCR1,P32246,910.0
1411,HMDB0000492,312,CCR1,P32246,162.0
1412,HMDB0000016,6166,CCR1,P32246,174.0
1413,HMDB0000058,6076,CCR1,P32246,187.0
